Club,ON,OFF,HW
Burnley,299,308,15
Ipswich Town,314,277,21
Middlesbrough,303,284,26
West Ham Utd,298,284,19
Peterborough,309,268,23
Blackpool,294,260,13
Hull City,294,258,19
Cardiff City,283,256,17
Southampton,292,244,10
Leicester City,264,271,21
Leeds United,289,222,15
Birmingham,264,242,16
Bristol City,279,225,12
Derby County,270,231,14
Portsmouth,223,275,18
Nottm Forest,254,239,17
Millwall,251,235,20
Coventry City,225,257,18
Watford,255,206,12
Reading,236,205,11
Barnsley,221,217,9
Crystal Palace,215,222,12
Brighton,209,200,19
Doncaster,178,211,9
