R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,35,17.1,0,0,32,3,0,0,7.52,
2,,"Ryan Fredericks 22, DR",0,36,66.7,2,1,8,2,0,0,7.2,
3,,"Tomas Kalas 21, DC",0,39,82.1,0,0,3,1,0,0,7.21,
4,,"Ben Gibson 22, DC",0,55,70.9,0,0,16,6,0,0,7.37,
5,,"George Friend 27, DL",1,30,70,1,0,5,1,0,0,7.38,
6,,"Adam Clayton 26, DMC",0,53,81.1,0,0,9,6,0,0,7.09,
7,,"Grant Leadbitter 29, DMC",4,67,77.6,8,1,12,5,0,0,7.31,
8,,"Adam Reach (75?)22, AMR",2,20,85,2,0,0,0,0,0,6.62,
9,,"Lee Tomlin 26, AMC",1,39,84.6,1,0,2,1,0,0,7.04,
10,,"Albert Adomah 27, AML",0,27,81.5,4,0,3,1,0,0,7.58,
11,,"Patrick Bamford (75?)21, FW",0,16,75,0,0,0,0,0,0,6.01,
12,,"Kike (75?)25, Sub",0,3,100,0,0,0,0,0,0,5.97,
13,,"Adam Forshaw (75?)23, Sub",0,4,100,0,0,0,0,0,0,6.13,
14,,"Mustapha Carayol 26, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
