Sqd,Player,From,Position,A,S,G,P,Y,R
27,Albert Adomah,,Midfielder,2,0,,,,
4,Daniel Ayala,,Defender/Centre back,2,0,1,,1,
23,Patrick Bamford,,Midfielder/Forward,3,0,1,,,
8,Adam Clayton,,Midfielder,3,0,,,,1
5,Ryan Fredericks,,Defender/Midfielder,1,0,,,,
3,George Friend,,Defender/Midfielder,2,0,,,,
6,Ben Gibson,,Defender,2,0,,,,
17,James Husband,,Defender,1,0,,,,
9,Kike,,Forward,2,1,1,,,
7,Grant Leadbitter,,Midfielder,2,1,,,,
40,Tomas Mejias,,Goalkeeper,3,0,-,-,,
22,Kenneth Omeruo,,Defender,2,0,,,,
20,Adam Reach,,Defender/Midfielder,0,3,,,,
10,Lee Tomlin,,Forward,3,0,,,,
29,Milos Veljkovic,,Defender,0,1,,,,
21,Jelle Vossen,,Forward,2,1,1,,1,
18,Dean Whitehead,,Midfielder,2,0,,,1,
33,Yanic Wildschut,,Forward,0,1,,,,
25,Rhys Williams,,Defender/Midfielder,1,0,,,,
