Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
8,Sammy Ameobi,,Midfielder/Forward,7,2,1,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
10,Nick Bailey,,Midfielder,19,9,2,,2,
,,,,,,,,,
3,Andre Bikey-Amougou,,Defender,31,2,1,,6,
,,,,,,,,,
35,Christian Burgess,,Defender,1,0,,,,
,,,,,,,,,
19,Mustapha Carayol,,Midfielder,12,6,3,,1,
,,,,,,,,,
12,Kieron Dyer,,Midfielder,7,2,2,,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,19,5,5,2,,
,,,,,,,,,
4,George Friend,,Defender/Midfielder,34,0,,,2,
,,,,,,,,,
40,Ben Gibson,,Defender,0,1,,,,
,,,,,,,,,
18,Andy Halliday,,Defender/Midfielder,13,6,,,1,
,,,,,,,,,
38,Faris Haroun,,Midfielder,20,3,4,,1,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,17,4,1,,2,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,29,2,1,,1,
,,,,,,,,,
17,Lukas Jutkiewicz,,Forward,18,6,8,,1,
,,,,,,,,,
7,Grant Leadbitter,,Midfielder,42,0,3,,9,
,,,,,,,,,
11,Emmanuel Ledesma,,Midfielder,14,14,2,,5,
,,,,,,,,,
23,Curtis Main,,Forward,6,7,3,,,1
,,,,,,,,,
27,Scott McDonald,,Forward,25,7,12,,3,
,,,,,,,,,
16,Josh McEachran,,Midfielder,35,3,,,4,
,,,,,,,,,
6,Stephen McManus,,Defender,7,0,,,1,
,,,,,,,,,
30,Ishmael Miller,,Forward,14,11,5,,1,
,,,,,,,,,
29,Bryn Morris,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
21,Stuart Parnaby,,Defender/Midfielder,10,4,,,1,
,,,,,,,,,
25,Adam Reach,,Defender/Midfielder,9,7,2,,1,
,,,,,,,,,
33,Richard Smallwood,,Midfielder,13,9,2,,4,
,,,,,,,,,
1,Jason Steele,,Goalkeeper,46,0,-,-,2,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,5,4,,,1,
,,,,,,,,,
22,Luke Williams,,Forward,3,8,2,,,
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,21,2,,,4,
,,,,,,,,,
39,Jonathan Woodgate,,Defender/Centre back,24,0,1,,3,1
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,4,13,1,,,
