Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,1,0,,,,
29,Fernando Amorebieta,,Defender,1,0,,,,
4,Daniel Ayala,,Defender/Centre back,1,0,,,,
8,Adam Clayton,,Midfielder,1,0,,,,
10,Carlos De Pena,,Midfielder,1,0,,,,
31,Diego Fabbrini,,Forward,1,0,1,,,
34,Adam Forshaw,,Midfielder,1,0,,,1,
3,George Friend,,Defender/Midfielder,1,0,,,1,
26,Tomas Kalas,,Defender,1,0,,,,
9,Kike,,Forward,0,1,,,,
13,Tomas Mejias,,Goalkeeper,1,0,-,-,,
24,Emilio Nsue,,Forward,0,1,,,,
35,David Nugent,,Forward,1,0,,,,
18,Cristian Stuani,,Forward,0,1,,,,
