Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
27,Albert Adomah,,Midfielder,38,4,12,,2,
26,Daniel Ayala,,Defender/Centre back,17,2,3,,6,1
6,Jacob Butterfield,,Midfielder,20,11,3,,,
19,Mustapha Carayol,,Midfielder,24,8,8,,3,
24,Nathaniel Chalobah,,Defender/Midfielder,15,4,1,,4,
10,Marvin Emnes,,Midfielder/Forward,14,8,1,,2,
3,George Friend,,Defender/Midfielder,39,2,3,,6,
22,Ben Gibson,,Defender,26,5,1,,4,2
12,Shay Given,,Goalkeeper,16,0,-,-,,
9,Danny Graham,,Forward,17,1,6,,,
16,Andy Halliday,,Defender/Midfielder,0,4,,,,
38,Faris Haroun,,Midfielder,0,1,,,,
15,Seb Hines,,Defender/Midfielder,3,1,,,1,
2,Justin Hoyte,,Defender/Midfielder,1,2,,,,
9,Lukas Jutkiewicz,,Forward,12,10,1,,,
29,Kei Kamara,,Forward,16,9,4,,3,
13,Dimi Konstantopoulos,,Goalkeeper,12,0,-,-,,
7,Grant Leadbitter,,Midfielder,37,2,6,2,10,
11,Emmanuel Ledesma,,Midfielder,16,11,6,,5,1
32,Jayson Leutwiler,,Goalkeeper,1,2,-,-,,
23,Curtis Main,,Forward,7,16,1,,,1
,Tomas Mejias,,Goalkeeper,1,0,-,-,,
28,Bryn Morris,,Defender/Midfielder,0,1,,,,
25,Kenneth Omeruo,,Defender,14,0,,,1,1
21,Stuart Parnaby,,Defender/Midfielder,1,2,,,,
20,Adam Reach,,Defender/Midfielder,1,1,,,,
5,Frazer Richardson,,Defender,11,0,,,,
33,Richard Smallwood,,Midfielder,9,4,,,1,
1,Jason Steele,,Goalkeeper,16,0,-,-,,1
10,Lee Tomlin,,Forward,9,5,4,,2,
8,Jozsef Varga,,Midfielder,29,5,,,4,
18,Dean Whitehead,,Midfielder,34,3,1,,12,1
14,Luke Williams,,Forward,4,5,,,,
4,Rhys Williams,,Defender/Midfielder,22,0,,,4,1
39,Jonathan Woodgate,,Defender/Centre back,24,1,,,3,
