Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
10,Nick Bailey,,Midfielder,1,0,,,,
,,,,,,,,,
4,Matthew Bates,,Defender,1,0,,,,
,,,,,,,,,
27,Joe Bennett,,Defender/Left back,1,0,,,,
,,,,,,,,,
9,Kris Boyd,,Forward,1,0,,,,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
28,Jonathan Franks,,Midfielder/Forward,0,1,,,,
,,,,,,,,,
24,Seb Hines,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
15,Leroy Lita,,Forward,1,0,,,,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,1,0,,,,
,,,,,,,,,
18,Gary O'Neil,,Midfielder,1,0,1,,,
