Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
18,Julio Arca,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
4,Matthew Bates,,Defender,3,0,,,,
,,,,,,,,,
3,Joe Bennett,,Defender/Left back,2,0,,,,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,1,1,-,-,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,2,1,1,,,
,,,,,,,,,
38,Faris Haroun,,Midfielder,1,0,,,,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,3,0,,,1,
,,,,,,,,,
30,Lukas Jutkiewicz,,Forward,2,0,1,,,
,,,,,,,,,
11,Tarmo Kink,,Forward,0,1,,,,
,,,,,,,,,
25,Curtis Main,,Forward,1,0,,,,
,,,,,,,,,
22,Maulaury Martin,,Midfielder,1,0,,,,
,,,,,,,,,
7,Scott McDonald,,Forward,2,0,,,,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,2,0,,,,
,,,,,,,,,
16,Bart Ogbeche,,Forward,1,0,,,,
,,,,,,,,,
32,Adam Reach,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
31,Connor Ripley,,Goalkeeper,0,1,-,-,,
,,,,,,,,,
17,Barry Robson,,Midfielder,1,0,1,,,
,,,,,,,,,
33,Richard Smallwood,,Midfielder,1,1,,,,
,,,,,,,,,
1,Jason Steele,,Goalkeeper,2,0,-,-,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,2,0,,,1,
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,3,0,,,1,
