Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
10,Nick Bailey,,Midfielder,3,0,,,1,
,,,,,,,,,
3,Andre Bikey-Amougou,,Defender,2,0,,,,
,,,,,,,,,
19,Mustapha Carayol,,Midfielder,1,0,,,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,1,0,,,,
,,,,,,,,,
4,George Friend,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
18,Andy Halliday,,Defender/Midfielder,1,1,1,,1,
,,,,,,,,,
38,Faris Haroun,,Midfielder,1,1,,,,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,1,1,,,1,
,,,,,,,,,
26,Jordan Jones,,Midfielder/Forward,0,1,,,,
,,,,,,,,,
17,Lukas Jutkiewicz,,Forward,1,0,2,,,
,,,,,,,,,
7,Grant Leadbitter,,Midfielder,1,1,,,1,
,,,,,,,,,
11,Emmanuel Ledesma,,Midfielder,0,1,,,1,
,,,,,,,,,
23,Curtis Main,,Forward,1,0,,,,
,,,,,,,,,
27,Scott McDonald,,Forward,1,0,,,,
,,,,,,,,,
6,Stephen McManus,,Defender,1,0,,,1,
,,,,,,,,,
30,Ishmael Miller,,Forward,1,1,1,,,
,,,,,,,,,
29,Bryn Morris,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
21,Stuart Parnaby,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
25,Adam Reach,,Defender/Midfielder,2,0,,,,
,,,,,,,,,
33,Richard Smallwood,,Midfielder,2,0,,,,
,,,,,,,,,
1,Jason Steele,,Goalkeeper,3,0,-,-,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,1,0,,,1,
,,,,,,,,,
22,Luke Williams,,Forward,1,0,,,,
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,3,0,,,,
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,2,1,2,,,
