Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,27,5,3,1,9,
,,,,,,,,,
10,Nick Bailey,,Midfielder,28,6,,,4,
,,,,,,,,,
4,Matthew Bates,,Defender,31,0,3,,3,
,,,,,,,,,
27,Joe Bennett,,Defender/Left back,28,3,,,5,
,,,,,,,,,
9,Kris Boyd,,Forward,18,9,6,,,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
12,Andrew Davies,,Defender/Centre back,5,1,,,1,
,,,,,,,,,
32,Marvin Emnes,,Midfielder/Forward,18,5,3,,1,
,,,,,,,,,
14,Willo Flood,,Midfielder,1,4,,,,
,,,,,,,,,
28,Jonathan Franks,,Midfielder/Forward,1,3,,,,
,,,,,,,,,
34,Ben Gibson,,Defender,0,1,,,,
,,,,,,,,,
23,Jonathan Grounds,,Defender/Midfielder,5,1,1,,,
,,,,,,,,,
3,Maxi Haas,,Defender/Midfielder,1,1,,,1,
,,,,,,,,,
19,Andy Halliday,,Defender/Midfielder,5,7,1,,1,
,,,,,,,,,
24,Seb Hines,,Defender/Midfielder,14,0,1,,,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,14,3,,,2,
,,,,,,,,,
36,Matthew Kilgallon,,Defender/Centre back,2,0,,,,
,,,,,,,,,
11,Tarmo Kink,,Forward,8,13,4,,,
,,,,,,,,,
15,Leroy Lita,,Forward,28,10,12,2,3,
,,,,,,,,,
7,Scott McDonald,,Forward,34,4,12,,3,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,28,6,2,,6,
,,,,,,,,,
6,Stephen McManus,,Defender,22,2,1,,3,
,,,,,,,,,
16,Lee Miller,,Forward,0,1,,,,
,,,,,,,,,
18,Gary O'Neil,,Midfielder,17,1,,,4,
,,,,,,,,,
38,Cameron Park,,Midfielder,0,4,,,,
,,,,,,,,,
41,Adam Reach,,Defender/Midfielder,0,1,1,,,
,,,,,,,,,
39,Connor Ripley,,Goalkeeper,0,1,-,-,,
,,,,,,,,,
17,Barry Robson,,Midfielder,29,3,5,1,6,1
,,,,,,,,,
33,Richard Smallwood,,Midfielder,7,6,1,,1,
,,,,,,,,,
13,Paul Smith,,Goalkeeper,10,0,-,-,,
,,,,,,,,,
30,Jason Steele,,Goalkeeper,35,0,-,-,2,
,,,,,,,,,
37,Mikael Tavares,,Midfielder,10,3,,,,
,,,,,,,,,
26,Andrew Taylor,,Defender,20,1,3,,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,18,1,,,2,
,,,,,,,,,
5,David Wheater,,Defender/Centre back,24,0,3,,5,
,,,,,,,,,
22,Luke Williams,,Forward,5,1,,,,
,,,,,,,,,
25,Rhys Williams,,Defender/Midfielder,10,2,1,,4,
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,2,7,1,,,
