Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
27,Albert Adomah,,Midfielder,0,1,,,,
,,,,,,,,,
6,Jacob Butterfield,,Midfielder,0,1,,,,
,,,,,,,,,
10,Marvin Emnes,,Midfielder/Forward,1,0,,,,
,,,,,,,,,
3,George Friend,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
22,Ben Gibson,,Defender,1,0,,,,
,,,,,,,,,
9,Lukas Jutkiewicz,,Forward,0,1,,,,
,,,,,,,,,
13,Dimi Konstantopoulos,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
7,Grant Leadbitter,,Midfielder,1,0,,,1,
,,,,,,,,,
11,Emmanuel Ledesma,,Midfielder,1,0,,,,
,,,,,,,,,
23,Curtis Main,,Forward,1,0,,,,
,,,,,,,,,
8,Jozsef Varga,,Midfielder,1,0,,,,
,,,,,,,,,
18,Dean Whitehead,,Midfielder,1,0,,,,
,,,,,,,,,
14,Luke Williams,,Forward,1,0,,,1,
,,,,,,,,,
4,Rhys Williams,,Defender/Midfielder,1,0,,,,
