Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
47,Luke Armstrong,,Forward,2,1,3,,1,
48,Tom Brewitt,,Defender,3,0,,,1,
54,James Cook,,Defender,1,0,,,,
43,Hayden Coulson,,Defender,2,0,,,,
52,Mitchell Curry,,Forward,1,0,,,,
69,Nathan Dale,,Defender,1,0,,,,
56,Liam Hegarty,,Defender,2,0,,,,
65,Zach Hemming,,Goalkeeper,2,0,-,-,,
21,Marvin Johnson,,Midfielder/Forward,1,0,,,,
64,Ben Liddle,,Midfielder,3,0,,,1,
73,Connor Malley,,Midfielder,2,1,,,,
55,Nathan McGinley,,Defender,3,0,,,,
13,Tomás Mejías,,Goalkeeper,1,0,-,-,,
45,George Miller,,Forward,2,0,,,,
70,Tyrone O'Neill,,Forward,0,2,,,,
53,Patrick Reading,,Defender,2,0,1,,2,
5,Ryan Shotton,,Defender,1,0,,,,
68,Jakub Sinior,,Midfielder,0,1,,,,
49,Mikael Soisalo,,Midfielder,2,0,,,,
57,Kieran Storey,,Defender,0,1,,,,
66,Amadou Sylla,,Midfielder,1,1,,,,
59,Jay Wilson,,Midfielder,0,1,,,,
51,Lewis Wing,,Midfielder/Forward,1,0,,,,
