Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
27,Albert Adomah,,Midfielder,40,3,5,,7,1
29,Fernando Amorebieta,,Defender,2,2,,,,
4,Daniel Ayala,,Defender/Centre back,29,1,4,,8,
23,Patrick Bamford,,Midfielder/Forward,32,6,17,,3,
8,Adam Clayton,,Midfielder,37,4,,,10,
2,Damia,,Defender/Midfielder,6,0,,,2,
34,Adam Forshaw,,Midfielder,6,12,,,2,
5,Ryan Fredericks,,Defender/Midfielder,16,1,,,4,
3,George Friend,,Defender/Midfielder,42,0,1,,6,1
6,Ben Gibson,,Defender,33,3,,,6,
15,Seb Hines,,Defender/Midfielder,3,0,,,1,
17,James Husband,,Defender,2,1,,,,
26,Tomas Kalas,,Defender,16,1,,,,
9,Kike,,Forward,25,17,9,,2,
13,Dimi Konstantopoulos,,Goalkeeper,40,0,-,-,,1
7,Grant Leadbitter,,Midfielder,40,3,12,8,10,
11,Emmanuel Ledesma,,Midfielder,1,0,,,,
40,Tomas Mejias,,Goalkeeper,6,1,-,-,,
24,Emilio Nsue,,Forward,12,14,,,4,
22,Kenneth Omeruo,,Defender,17,2,,,4,
20,Adam Reach,,Defender/Midfielder,27,12,2,,3,
32,Dwight Tiendalli,,Defender/Midfielder,2,0,,,1,
10,Lee Tomlin,,Forward,32,10,7,,5,
29,Milos Veljkovic,,Defender,1,2,,,,
21,Jelle Vossen,,Forward,20,13,7,,3,
18,Dean Whitehead,,Midfielder,11,7,,,2,1
33,Yanic Wildschut,,Forward,3,8,2,,,
14,Luke Williams,,Forward,0,4,,,,
25,Rhys Williams,,Defender/Midfielder,0,1,,,,
39,Jonathan Woodgate,,Defender/Centre back,5,2,1,,,
