Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
10,Jeremie Aliadiere,,Forward,16,4,4,,1,
,,,,,,,,,
20,Julio Arca,,Defender/Midfielder,26,8,,,7,
,,,,,,,,,
27,Joe Bennett,,Defender/Left back,10,2,,,2,
,,,,,,,,,
19,Marcus Bent,,Forward,3,4,,,,
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,22,1,-,-,,
,,,,,,,,,
8,Didier Digard,,Midfielder,4,5,,,1,
,,,,,,,,,
11,Marvin Emnes,,Midfielder/Forward,12,4,1,,,
,,,,,,,,,
14,Willo Flood,,Midfielder,11,0,1,,,
,,,,,,,,,
14,Caleb Folan,,Forward,0,1,,,,
,,,,,,,,,
28,Jonathan Franks,,Midfielder/Forward,9,14,3,,,
,,,,,,,,,
23,Jonathan Grounds,,Defender/Midfielder,16,4,,,1,
,,,,,,,,,
24,Seb Hines,,Defender/Midfielder,2,0,,,1,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,23,7,1,,1,
,,,,,,,,,
14,Robert Huth,,Defender,4,0,,,2,
,,,,,,,,,
18,Adam Johnson,,Midfielder,25,1,11,4,3,
,,,,,,,,,
1,Brad Jones,,Goalkeeper,24,0,-,-,,1
,,,,,,,,,
12,Chris Killen,,Forward,15,2,3,,3,
,,,,,,,,,
33,Dave Kitson,,Forward,6,0,3,,1,
,,,,,,,,,
9,Leroy Lita,,Forward,23,17,8,1,6,1
,,,,,,,,,
7,Scott McDonald,,Forward,12,1,4,,1,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,20,1,,,2,
,,,,,,,,,
19,Stephen McManus,,Defender,16,0,1,,5,
,,,,,,,,,
18,Lee Miller,,Forward,6,4,,,,
,,,,,,,,,
33,Kyle Naughton,,Defender/Midfielder,12,3,,,,
,,,,,,,,,
16,Gary O'Neil,,Midfielder,35,1,4,,9,
,,,,,,,,,
15,Jay O'Shea,,Midfielder,1,1,,,,
,,,,,,,,,
34,Isaiah Osbourne,,Defender/Midfielder,9,0,,,2,
,,,,,,,,,
6,Emanuel Pogatetz,,Defender,13,0,,,2,
,,,,,,,,,
5,Chris Riggott,,Defender/Centre back,4,2,,,,
,,,,,,,,,
17,Barry Robson,,Midfielder,18,0,5,2,6,1
,,,,,,,,,
12,Sean St Ledger-Hall,,Defender,14,1,2,,,
,,,,,,,,,
3,Andrew Taylor,,Defender,8,4,,,,
,,,,,,,,,
17,Tuncay Sanli,,Forward,0,3,2,,,
,,,,,,,,,
22,Josh Walker,,Defender/Midfielder,1,0,,,,
,,,,,,,,,
31,David Wheater,,Defender/Centre back,42,0,1,,4,
,,,,,,,,,
33,Luke Williams,,Forward,2,2,,,,
,,,,,,,,,
25,Rhys Williams,,Defender/Midfielder,31,1,2,,8,1
,,,,,,,,,
7,Mark Yeates,,Midfielder/Forward,11,8,1,,1,
