Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
9,Britt Assombalonga,,Forward,32,12,15,1,3,
4,Daniel Ayala,,Defender/Centre back,33,0,7,,1,1
30,Lewis Baker,,Midfielder,6,6,1,,1,
11,Patrick Bamford,,Midfielder/Forward,23,16,11,,2,
27,Muhamed Beši?,,Midfielder,15,0,1,,4,
10,Martin Braithwaite,,Forward,17,2,5,,2,
22,Cyrus Christie,,Defender,24,1,1,,7,
8,Adam Clayton,,Midfielder,22,10,,,10,
14,Martin Cranie,,Defender/Midfielder,1,8,,,1,
14,Marten De Roon,,Midfielder,1,0,,,,
19,Stewart Downing,,Midfielder,38,2,3,,1,
2,Fábio Da Silva,,Defender/Midfielder,18,4,1,,2,
18,Ashley Fletcher,,Forward,3,13,1,,,
34,Adam Forshaw,,Midfielder,5,6,,,1,
3,George Friend,,Defender/Midfielder,29,4,2,,10,
20,Dael Fry,,Defender,11,2,,,1,
39,Rudy Gestede,,Forward,10,9,3,,3,
6,Ben Gibson,,Defender,45,0,1,,5,
17,Adlène Guédioura,,Midfielder,1,0,,,,
23,Jack Harrison,,Midfielder,0,4,,,,
16,Jonny Howson,,Midfielder,37,6,3,,6,
21,Marvin Johnson,,Midfielder/Forward,6,11,1,,,
7,Grant Leadbitter,,Midfielder,29,3,3,3,10,1
25,Darren Randolph,,Goalkeeper,46,0,-,-,3,
23,Connor Roberts,,Defender/Midfielder,1,0,,,,
5,Ryan Shotton,,Defender,23,1,1,,2,
62,Marcus Tavernier,,Midfielder,4,1,1,,,
37,Adama Traoré,,Midfielder/Forward,26,8,5,,3,1
