Sqd,Player,From,Position,A,S,G,P,Y,R
,,,,,,,,,
,,,,,,,,,
18,Julio Arca,,Defender/Midfielder,22,8,,,3,1
,,,,,,,,,
10,Nick Bailey,,Midfielder,37,0,2,,8,
,,,,,,,,,
4,Matthew Bates,,Defender,37,0,2,,2,
,,,,,,,,,
3,Joe Bennett,,Defender/Left back,40,1,1,,9,1
,,,,,,,,,
21,Danny Coyne,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
9,Marvin Emnes,,Midfielder/Forward,37,5,14,,1,
,,,,,,,,,
19,Andy Halliday,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
11,Adam Hammill,,Midfielder,8,2,,,,
,,,,,,,,,
38,Faris Haroun,,Midfielder,23,9,2,,6,
,,,,,,,,,
15,Seb Hines,,Defender/Midfielder,20,3,1,,3,
,,,,,,,,,
2,Justin Hoyte,,Defender/Midfielder,39,0,,,1,
,,,,,,,,,
13,Carl Ikeme,,Goalkeeper,10,0,-,-,1,
,,,,,,,,,
30,Lukas Jutkiewicz,,Forward,17,2,2,,1,
,,,,,,,,,
11,Tarmo Kink,,Forward,0,1,,,,
,,,,,,,,,
25,Curtis Main,,Forward,0,12,2,,1,
,,,,,,,,,
22,Maulaury Martin,,Midfielder,0,15,3,,1,
,,,,,,,,,
7,Scott McDonald,,Forward,31,2,9,,3,
,,,,,,,,,
29,Tony McMahon,,Defender/Right back,28,6,1,,6,1
,,,,,,,,,
6,Stephen McManus,,Defender,21,3,,,4,
,,,,,,,,,
26,Alex Nimely,,Forward,0,9,,,,
,,,,,,,,,
16,Bart Ogbeche,,Forward,5,12,3,,2,
,,,,,,,,,
32,Adam Reach,,Defender/Midfielder,0,1,,,,
,,,,,,,,,
31,Connor Ripley,,Goalkeeper,1,0,-,-,,
,,,,,,,,,
17,Barry Robson,,Midfielder,37,0,7,2,13,1
,,,,,,,,,
33,Richard Smallwood,,Midfielder,7,6,,,1,
,,,,,,,,,
1,Jason Steele,,Goalkeeper,34,0,-,-,,
,,,,,,,,,
8,Kevin Thomson,,Midfielder,10,12,,,1,2
,,,,,,,,,
14,Rhys Williams,,Defender/Midfielder,34,1,2,,5,1
,,,,,,,,,
5,Merouane Zemmama,,Midfielder,7,8,1,,1,
