NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Matthew Clarke5,D,26,1.85 m,83 kg,England,--,--,--,--,--,--,--,--,--,--
Dael Fry6,D,25,1.8 m,72 kg,England,1,0,0,0,0,0,0,0,0,0
Tommy Smith14,D,31,1.85 m,73 kg,England,1,0,0,0,0,0,1,1,0,0
Anfernee Dijksteel15,D,26,1.83 m,72 kg,Suriname,--,--,--,--,--,--,--,--,--,--
Paddy McNair17,D,28,1.83 m,72 kg,Northern Ireland,1,0,0,0,0,0,0,0,0,0
Darnell Fisher22,D,29,1.75 m,78 kg,England,--,--,--,--,--,--,--,--,--,--
Darragh Lenihan26,D,29,1.78 m,76 kg,Republic of Ireland,--,--,--,--,--,--,--,--,--,--
Marc Bola27,D,25,1.85 m,78 kg,England,1,1,0,0,0,0,0,0,0,0
Bryant Bilongo32,D,21,--,--,England,0,0,0,0,0,0,0,0,0,0
George Gitau45,D,19,--,--,Germany,0,0,0,0,0,0,0,0,0,0
Isaiah Jones2,M,23,--,--,England,1,1,0,0,0,0,0,1,0,0
Ryan John Giles3,M,23,1.78 m,--,England,1,0,0,1,0,0,1,0,1,0
Alex Mowatt4,M,28,1.7 m,71 kg,England,1,1,0,0,0,0,0,0,0,0
Daniel Barlaser7,M,26,1.83 m,62 kg,England,1,1,0,0,0,0,0,0,0,0
Riley McGree8,M,24,1.78 m,72 kg,Australia,1,0,0,0,1,1,0,0,0,0
Aaron Ramsey11,M,20,1.91 m,--,England,--,--,--,--,--,--,--,--,--,--
Jonathan Howson16,M,34,1.8 m,77 kg,England,1,0,0,0,0,0,2,0,0,0
Stephen Walker19,M,22,--,--,England,--,--,--,--,--,--,--,--,--,--
Caolan Boyd-Munce20,M,23,--,--,Northern Ireland,--,--,--,--,--,--,--,--,--,--
Matt Crooks25,M,29,1.83 m,72 kg,England,1,0,0,0,1,1,0,0,0,0
Hayden Hackney30,M,20,--,--,England,1,0,0,0,0,0,2,0,0,0
Joseph Gibson33,M,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaac Fletcher35,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Jeremy Sivi39,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Jack Stott46,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Cain Sykes47,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Rodrigo Muniz9,F,21,1.75 m,76 kg,Uruguay,0,0,0,0,0,0,0,0,0,0
Cameron Archer10,F,21,1.7 m,72 kg,England,1,1,0,0,0,0,0,1,0,0
Calum Kavanagh16,F,19,--,--,--,--,--,--,--,--,--,--,--,--,--
Marcus Forss21,F,23,1.83 m,76 kg,Finland,1,0,0,0,1,1,1,1,0,0
Chuba Akpom29,F,27,1.83 m,68 kg,England,1,0,1,0,2,2,0,2,0,0
Sonny Finch31,F,17,--,--,England,--,--,--,--,--,--,--,--,--,--
Pharrell Willis44,F,20,--,--,England,--,--,--,--,--,--,--,--,--,--
