NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Tommy Smith2,D,32,1.85 m,73 kg,England,1,0,0,0,0,0,1,0,1,0
Rav van den Berg3,D,19,1.91 m,73 kg,Netherlands,4,1,0,0,0,0,3,0,1,0
Matthew Clarke5,D,27,1.85 m,83 kg,England,3,1,0,0,0,0,1,1,1,0
Dael Fry6,D,26,1.91 m,72 kg,England,6,0,0,0,2,0,2,3,0,0
Luke Ayling12,D,32,1.85 m,72 kg,England,1,0,0,0,1,0,0,1,0,0
Anfernee Dijksteel15,D,27,1.83 m,72 kg,Suriname,3,1,0,0,1,1,1,4,0,0
Paddy McNair17,D,29,1.83 m,72 kg,Northern Ireland,4,0,0,1,5,0,0,3,1,0
Alex Bangura24,D,24,1.83 m,--,Sierra Leone,3,1,0,2,1,0,3,1,0,0
Darragh Lenihan26,D,30,1.78 m,76 kg,Republic of Ireland,2,0,0,0,2,0,3,3,0,0
Lukas Ahlefeld Engel27,D,25,1.78 m,73 kg,Denmark,5,1,0,0,1,0,1,3,0,0
Luke Thomas33,D,22,1.8 m,67 kg,England,--,--,--,--,--,--,--,--,--,--
Daniel Barlaser4,M,27,1.83 m,62 kg,England,7,0,0,3,3,0,3,4,0,0
Hayden Hackney7,M,21,1.78 m,68 kg,England,6,0,1,2,7,3,8,6,0,0
Riley McGree8,M,25,1.78 m,78 kg,Australia,3,2,2,2,3,2,3,0,0,0
Isaiah Jones11,M,24,1.8 m,--,England,5,1,1,1,4,1,5,7,2,0
Jonathan Howson16,M,36,1.8 m,76 kg,England,4,1,1,1,5,3,2,4,0,0
Finn Azaz20,M,23,1.85 m,68 kg,Republic of Ireland,2,1,0,0,0,0,0,1,0,0
Lewis O'Brien28,M,25,1.73 m,73 kg,England,2,1,0,0,3,2,1,1,0,0
Sam Greenwood29,M,22,1.85 m,--,England,1,1,0,0,2,0,1,0,0,0
Law Mccabe49,M,17,--,--,England,1,1,0,0,0,0,0,0,0,0
Aidan Bridge52,M,19,1.8 m,--,England,0,0,0,0,0,0,0,0,0,0
Luke Woolston59,M,19,--,--,England,--,--,--,--,--,--,--,--,--,--
Sonny Finch,F,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Emmanuel Latte Lath9,F,25,1.78 m,73 kg,--,5,0,2,0,7,6,3,3,1,0
Matthew Hoppe13,F,23,1.91 m,78 kg,USA,--,--,--,--,--,--,--,--,--,--
Alex Gilbert14,F,22,1.83 m,67 kg,England,2,2,0,0,0,0,0,0,0,0
Samuel Silvera18,F,23,1.73 m,73 kg,Australia,5,1,2,1,14,7,6,4,1,0
Josh Coburn19,F,21,--,--,England,3,3,0,0,1,0,0,2,0,0
Marcus Forss21,F,24,1.83 m,76 kg,Finland,2,0,0,0,3,0,2,1,0,0
Daniel Nkrumah38,F,20,--,--,England,0,0,0,0,0,0,0,0,0,0
Pharrell Willis47,F,21,--,--,England,--,--,--,--,--,--,--,--,--,--
