NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Jack Robinson,D,27,1.68 m,63 kg,England,1,1,0,0,0,0,0,0,0,0
Anfernee Dijksteel2,D,24,1.83 m,72 kg,Netherlands,29,0,0,0,7,1,28,35,4,0
Grant Hall4,D,29,1.75 m,71 kg,England,19,1,2,0,15,7,7,10,0,0
Dael Fry6,D,23,1.8 m,72 kg,England,32,2,1,1,9,1,20,25,3,0
Paddy McNair17,D,26,1.83 m,72 kg,Northern Ireland,46,0,2,7,37,9,35,95,7,1
Darnell Fisher20,D,27,1.75 m,78 kg,England,26,1,1,0,4,1,47,64,6,0
Marc Bola27,D,23,1.85 m,78 kg,England,41,0,1,1,20,4,38,44,7,0
Djed Spence29,D,20,--,--,England,38,16,1,0,13,3,20,23,1,0
Hayden Coulson33,D,22,--,--,England,17,12,0,0,7,1,13,18,0,0
Williams Kokolo40,D,20,--,--,France,0,0,0,0,0,0,0,0,0,0
Marvin Johnson3,M,30,1.78 m,73 kg,England,42,20,3,5,35,13,25,44,2,0
Sam Morsy5,M,29,1.75 m,68 kg,Egypt,31,2,1,5,28,5,57,24,8,1
Marcus Tavernier7,M,22,--,--,England,29,4,3,4,52,16,25,57,3,0
Marcus Browne12,M,23,1.78 m,73 kg,England,5,4,2,1,6,2,3,6,0,0
Jonathan Howson16,M,33,1.8 m,77 kg,England,41,1,1,1,29,5,30,30,7,0
Nathaniel Mendez-Laing19,M,29,1.8 m,77 kg,England,9,7,1,1,5,2,5,2,0,0
Neeskens Kebano21,M,29,1.7 m,63 kg,Congo DR,18,3,1,3,17,4,11,28,1,0
George Saville22,M,27,1.75 m,73 kg,Northern Ireland,42,7,6,4,63,17,60,45,8,0
Sam Folarin24,M,--,--,--,England,2,2,0,0,2,1,0,1,0,0
Hayden Hackney34,M,18,--,--,England,1,1,0,0,0,0,0,0,0,0
Connor Malley34,M,21,--,--,England,3,3,0,0,3,1,0,0,0,0
Isaac Fletcher38,M,18,--,--,England,0,0,0,0,0,0,0,0,0,0
Cain Sykes44,M,18,--,--,England,--,--,--,--,--,--,--,--,--,--
Britt Assombalonga9,F,28,1.78 m,78 kg,Congo DR,31,12,5,0,49,16,52,27,2,0
Chuba Akpom10,F,25,1.83 m,68 kg,England,38,18,5,2,40,10,21,31,2,0
Ashley Fletcher11,F,25,1.85 m,78 kg,England,12,7,2,1,13,6,11,4,1,0
Yannick Bolasie14,F,31,1.88 m,83 kg,Congo DR,15,3,3,3,30,7,24,9,1,0
Duncan Watmore18,F,27,1.75 m,72 kg,England,30,7,9,1,28,14,14,18,0,0
Rumarn Burrell39,F,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Josh Coburn45,F,18,--,--,England,4,4,1,0,2,1,2,1,0,0
