NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Matthew Clarke5,D,26,1.85 m,83 kg,England,6,0,0,0,5,2,6,4,1,0
Dael Fry6,D,25,1.8 m,72 kg,England,30,4,0,0,10,1,16,16,2,1
Tommy Smith14,D,31,1.85 m,73 kg,England,36,5,0,1,17,3,36,23,10,0
Anfernee Dijksteel15,D,26,1.83 m,72 kg,Suriname,20,10,0,1,1,0,9,15,2,1
Paddy McNair17,D,28,1.83 m,72 kg,Northern Ireland,30,4,1,0,15,3,18,33,5,0
Darnell Fisher22,D,29,1.75 m,78 kg,England,1,1,0,0,0,0,0,0,0,0
Darragh Lenihan26,D,29,1.78 m,76 kg,Republic of Ireland,41,1,0,3,32,7,19,20,5,1
Marc Bola27,D,25,1.85 m,78 kg,England,25,16,0,0,11,2,14,4,3,0
Bryant Bilongo32,D,21,--,--,England,0,0,0,0,0,0,0,0,0,0
George Gitau45,D,19,--,--,Germany,--,--,--,--,--,--,--,--,--,--
Isaiah Jones2,M,23,--,--,England,34,10,3,5,23,8,37,69,8,0
Ryan John Giles3,M,23,1.78 m,--,England,45,2,0,12,17,5,14,14,3,0
Alex Mowatt4,M,28,1.7 m,71 kg,England,29,18,0,2,16,2,11,18,1,0
Daniel Barlaser7,M,26,1.83 m,62 kg,England,39,8,2,8,17,7,20,25,4,0
Riley McGree8,M,24,1.78 m,72 kg,Australia,43,8,6,3,74,22,38,34,4,0
Aaron Ramsey11,M,20,1.91 m,--,England,29,8,8,4,36,17,11,24,1,0
Jonathan Howson16,M,34,1.8 m,77 kg,England,44,1,0,3,10,1,28,20,9,0
Stephen Walker19,M,22,--,--,England,--,--,--,--,--,--,--,--,--,--
Caolan Boyd-Munce20,M,23,--,--,Northern Ireland,1,1,0,0,0,0,0,0,0,0
Matt Crooks25,M,29,1.83 m,72 kg,England,37,19,7,6,41,14,30,16,8,0
Hayden Hackney30,M,20,--,--,England,34,2,3,4,34,6,58,35,9,0
Joseph Gibson33,M,21,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaac Fletcher35,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Jeremy Sivi39,M,20,--,--,England,--,--,--,--,--,--,--,--,--,--
Jack Stott46,M,19,--,--,England,0,0,0,0,0,0,0,0,0,0
Cain Sykes47,M,20,--,--,England,0,0,0,0,0,0,0,0,0,0
Rodrigo Muniz9,F,21,1.75 m,76 kg,Uruguay,17,8,2,0,30,6,14,27,2,0
Cameron Archer10,F,21,1.7 m,72 kg,England,20,3,11,6,37,17,18,13,1,0
Marcus Forss21,F,23,1.83 m,76 kg,Finland,38,14,10,5,44,20,35,19,5,0
Chuba Akpom29,F,27,1.83 m,68 kg,England,38,3,28,2,96,46,31,85,5,0
Sonny Finch31,F,17,--,--,England,3,3,0,0,0,0,0,1,0,0
Calum Kavanagh36,F,19,--,--,--,--,--,--,--,--,--,--,--,--,--
Pharrell Willis44,F,20,--,--,England,1,1,0,0,1,0,0,0,0,0
