NAME,POS,AGE,HT,WT,NAT,APP,SUB,G,A,SH,ST,FC,FA,YC,RC
Matthew Clarke5,D,26,1.85 m,83 kg,England,--,--,--,--,--,--,--,--,--,--
Dael Fry6,D,25,1.8 m,72 kg,England,1,0,0,0,2,1,0,0,0,0
Tommy Smith14,D,31,1.85 m,73 kg,England,1,0,0,0,0,0,0,0,0,0
Anfernee Dijksteel15,D,26,1.83 m,72 kg,Suriname,1,0,0,0,1,0,1,0,0,0
Paddy McNair17,D,28,1.83 m,72 kg,Northern Ireland,1,0,0,0,1,0,2,1,0,0
Darnell Fisher22,D,29,1.75 m,78 kg,England,--,--,--,--,--,--,--,--,--,--
Darragh Lenihan26,D,29,1.78 m,76 kg,Republic of Ireland,--,--,--,--,--,--,--,--,--,--
Marc Bola27,D,25,1.85 m,78 kg,England,1,0,0,0,0,0,0,0,0,0
Bryant Bilongo32,D,21,--,--,England,1,1,0,0,0,0,0,1,0,0
George Gitau45,D,19,--,--,Germany,--,--,--,--,--,--,--,--,--,--
Stephen Walker,M,22,--,--,England,--,--,--,--,--,--,--,--,--,--
Isaiah Jones2,M,23,--,--,England,--,--,--,--,--,--,--,--,--,--
Ryan John Giles3,M,23,1.78 m,--,England,--,--,--,--,--,--,--,--,--,--
Alex Mowatt4,M,28,1.7 m,71 kg,England,1,0,0,0,2,0,2,2,0,0
Daniel Barlaser7,M,26,1.83 m,62 kg,England,2,1,0,0,1,0,0,0,0,0
Riley McGree8,M,24,1.78 m,72 kg,Australia,--,--,--,--,--,--,--,--,--,--
Aaron Ramsey11,M,20,1.91 m,--,England,2,1,0,0,0,0,1,2,0,0
Jonathan Howson16,M,34,1.8 m,77 kg,England,--,--,--,--,--,--,--,--,--,--
Caolan Boyd-Munce20,M,23,--,--,Northern Ireland,1,0,0,0,0,0,0,1,0,0
Matt Crooks25,M,29,1.83 m,72 kg,England,--,--,--,--,--,--,--,--,--,--
Hayden Hackney30,M,20,--,--,England,1,0,0,0,1,0,3,1,0,0
Joseph Gibson33,M,21,--,--,England,1,0,0,0,2,0,1,0,0,0
Isaac Fletcher35,M,20,--,--,England,1,1,0,0,2,0,0,1,0,0
Jeremy Sivi39,M,20,--,--,England,0,0,0,0,0,0,0,0,0,0
Rodrigo Muniz9,F,21,1.75 m,76 kg,Uruguay,--,--,--,--,--,--,--,--,--,--
Cameron Archer10,F,21,1.7 m,72 kg,England,1,1,0,0,1,1,0,0,0,0
Marcus Forss21,F,23,1.83 m,76 kg,Finland,1,1,0,0,0,0,1,1,0,0
Chuba Akpom29,F,27,1.83 m,68 kg,England,1,1,0,0,1,1,0,3,0,0
Sonny Finch31,F,17,--,--,England,1,0,0,0,0,0,1,0,0,0
Pharrell Willis44,F,20,--,--,England,--,--,--,--,--,--,--,--,--,--
